"Parent1"	"Parent2"	"Offspring"	"Cross.Type"	"SNPs"	"GD"
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Chang.Bai.Mountain.5"	"self"	549	0.123861566484517
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Tatyana"	"self"	548	0.114963503649635
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Dumbarton.Oaks.BG"	"self"	549	0.246812386156648
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"X74.32"	"self"	548	0.222627737226277
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"DACT.218"	"self"	521	0.244721689059501
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.01"	"self"	548	0.154197080291971
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.02"	"self"	542	0.163284132841328
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.03"	"self"	549	0.163023679417122
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.04"	"self"	549	0.190346083788707
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.05"	"self"	525	0.171428571428571
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.06"	"self"	547	0.191956124314442
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.07"	"self"	548	0.219890510948905
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.08"	"self"	542	0.222324723247232
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.09"	"self"	548	0.223540145985401
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.10"	"self"	548	0.192518248175182
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.11"	"self"	548	0.193430656934307
"Chang.Bai.Mountain.4"	"Chang.Bai.Mountain.4.1"	"Offspring.12"	"self"	549	0.205828779599271
